Year,Week,Tm,Opp,Home/Away,Score,QB,is_home,Avg_Score,Avg_W/L,Avg_Pass_Cmp,Avg_Pass_Att,Avg_Pass_Yds,Avg_Pass_TD,Avg_INT_Thrown,Avg_Sk_Taken,Avg_Pass_Lng,Avg_Rush_Att,Avg_Rush_Yds,Avg_Rush_TD,Avg_Rush_Lng,Avg_Rec_Tgt,Avg_Receptions,Avg_Rec_Yds,Avg_Rec_TD,Avg_Rec_Lng,Avg_Fumbles_Total,Avg_Fumbles_Lost,Avg_Passer_Rating,Avg_Def_Ints,Avg_Def_Int_Yds,Avg_Def_Int_TD,Avg_Def_Int_Lng,Avg_Def_Pass_Defended,Avg_Def_Sack,Avg_Def_Combined_Tackles,Avg_Def_Solo_Tackle,Avg_Def_Assisted_Tackles,Avg_Def_TFL,Avg_Def_QB_Hits,Avg_Def_FR,Avg_Def_FR_Yds,Avg_Def_FR_TD,Avg_Def_FF,Avg_XPM,Avg_XPA,Avg_FGM,Avg_FGA,Avg_Punts,Avg_Punt_Yds,Avg_Punt_Lng,Avg_Yards_Per_Punt,Avg_Kick_Returns,Avg_Kick_Return_Yds,Avg_Kick_Return_TDs,Avg_Kick_Return_Long,Avg_Punt_Returns,Avg_Punt_Return_Yds,Avg_Punt_Return_TDs,Avg_Punt_Return_Long,Avg_Yards_Per_Kick_Return,Avg_Yards_Per_Punt_Return,Avg_Pass_1D,Avg_Pass_IAY,Avg_Pass_CAY,Avg_Pass_YAC,Avg_Pass_Drops,Avg_Pass_BadTh,Avg_Pass_Bltz,Avg_Pass_Hrry,Avg_Pass_Hits,Avg_Pass_Prss,Avg_Pass_Scrm,Avg_Pass_1D%,Avg_Pass_IAY/PA,Avg_Pass_CAY/Cmp,Avg_Pass_CAY/PA,Avg_Pass_YAC/Cmp,Avg_Pass_Drop%,Avg_Pass_Bad%,Avg_Pass_Prss%,Avg_Rush_1D,Avg_Rush_YBC,Avg_Rush_YAC,Avg_Rush_BrkTkl,Avg_Rush_YBC/Att,Avg_Rush_YAC/Att,Avg_Rush_BrkTkl/Att%,Avg_Rec_1D,Avg_Rec_YBC,Avg_Rec_YAC,Avg_Rec_BrkTkl,Avg_Rec_Drop,Avg_Rec_ADOT,Avg_Rec_YBC/R,Avg_Rec_YAC/R,Avg_Rec_BrkTkl/Rec%,Avg_Def_Tgt,Avg_Def_Cmp,Avg_Def_Pass_Yds,Avg_Def_Pass_TD,Avg_Def_Air,Avg_Def_YAC,Avg_Def_Blitz,Avg_Def_Hrry,Avg_Def_QBKD,Avg_Def_Prss,Avg_Def_Comb,Avg_Def_MTkl,Avg_Def_ADOT,Avg_Def_Cmp%,Avg_Def_Yds/Cmp,Avg_Def_Yds/Tgt,Avg_Def_Missed_Tkl%,Opp_QB,Opp_Avg_Score,Opp_Avg_W/L,Opp_Avg_Pass_Cmp,Opp_Avg_Pass_Att,Opp_Avg_Pass_Yds,Opp_Avg_Pass_TD,Opp_Avg_INT_Thrown,Opp_Avg_Sk_Taken,Opp_Avg_Pass_Lng,Opp_Avg_Rush_Att,Opp_Avg_Rush_Yds,Opp_Avg_Rush_TD,Opp_Avg_Rush_Lng,Opp_Avg_Rec_Tgt,Opp_Avg_Receptions,Opp_Avg_Rec_Yds,Opp_Avg_Rec_TD,Opp_Avg_Rec_Lng,Opp_Avg_Fumbles_Total,Opp_Avg_Fumbles_Lost,Opp_Avg_Passer_Rating,Opp_Avg_Def_Ints,Opp_Avg_Def_Int_Yds,Opp_Avg_Def_Int_TD,Opp_Avg_Def_Int_Lng,Opp_Avg_Def_Pass_Defended,Opp_Avg_Def_Sack,Opp_Avg_Def_Combined_Tackles,Opp_Avg_Def_Solo_Tackle,Opp_Avg_Def_Assisted_Tackles,Opp_Avg_Def_TFL,Opp_Avg_Def_QB_Hits,Opp_Avg_Def_FR,Opp_Avg_Def_FR_Yds,Opp_Avg_Def_FR_TD,Opp_Avg_Def_FF,Opp_Avg_XPM,Opp_Avg_XPA,Opp_Avg_FGM,Opp_Avg_FGA,Opp_Avg_Punts,Opp_Avg_Punt_Yds,Opp_Avg_Punt_Lng,Opp_Avg_Yards_Per_Punt,Opp_Avg_Kick_Returns,Opp_Avg_Kick_Return_Yds,Opp_Avg_Kick_Return_TDs,Opp_Avg_Kick_Return_Long,Opp_Avg_Punt_Returns,Opp_Avg_Punt_Return_Yds,Opp_Avg_Punt_Return_TDs,Opp_Avg_Punt_Return_Long,Opp_Avg_Yards_Per_Kick_Return,Opp_Avg_Yards_Per_Punt_Return,Opp_Avg_Pass_1D,Opp_Avg_Pass_IAY,Opp_Avg_Pass_CAY,Opp_Avg_Pass_YAC,Opp_Avg_Pass_Drops,Opp_Avg_Pass_BadTh,Opp_Avg_Pass_Bltz,Opp_Avg_Pass_Hrry,Opp_Avg_Pass_Hits,Opp_Avg_Pass_Prss,Opp_Avg_Pass_Scrm,Opp_Avg_Pass_1D%,Opp_Avg_Pass_IAY/PA,Opp_Avg_Pass_CAY/Cmp,Opp_Avg_Pass_CAY/PA,Opp_Avg_Pass_YAC/Cmp,Opp_Avg_Pass_Drop%,Opp_Avg_Pass_Bad%,Opp_Avg_Pass_Prss%,Opp_Avg_Rush_1D,Opp_Avg_Rush_YBC,Opp_Avg_Rush_YAC,Opp_Avg_Rush_BrkTkl,Opp_Avg_Rush_YBC/Att,Opp_Avg_Rush_YAC/Att,Opp_Avg_Rush_BrkTkl/Att%,Opp_Avg_Rec_1D,Opp_Avg_Rec_YBC,Opp_Avg_Rec_YAC,Opp_Avg_Rec_BrkTkl,Opp_Avg_Rec_Drop,Opp_Avg_Rec_ADOT,Opp_Avg_Rec_YBC/R,Opp_Avg_Rec_YAC/R,Opp_Avg_Rec_BrkTkl/Rec%,Opp_Avg_Def_Tgt,Opp_Avg_Def_Cmp,Opp_Avg_Def_Pass_Yds,Opp_Avg_Def_Pass_TD,Opp_Avg_Def_Air,Opp_Avg_Def_YAC,Opp_Avg_Def_Blitz,Opp_Avg_Def_Hrry,Opp_Avg_Def_QBKD,Opp_Avg_Def_Prss,Opp_Avg_Def_Comb,Opp_Avg_Def_MTkl,Opp_Avg_Def_ADOT,Opp_Avg_Def_Cmp%,Opp_Avg_Def_Yds/Cmp,Opp_Avg_Def_Yds/Tgt,Opp_Avg_Def_Missed_Tkl%
2018,5,ARI,SFO,Away,28,Josh Rosen,0,9.25,0.0,17.25,28.5,154.0,0.75,1.25,2.0,27.0,19.0,66.75,0.5,12.5,27.75,17.25,154.0,0.75,27.0,1.0,0.75,72.03,0.5,0.0,0.0,0.0,2.5,2.25,69.5,56.75,12.75,5.5,5.5,1.0,0.0,0.0,1.25,1.0,1.0,0.25,0.75,5.5,280.5,58.75,51.08,1.25,26.0,0.0,12.0,1.25,12.75,0.0,12.75,10.96,6.38,6.75,208.5,87.0,67.0,2.0,4.0,6.25,2.5,4.25,8.75,1.0,22.44,7.42,5.13,3.1,3.94,6.68,13.93,28.87,4.25,42.0,24.75,0.5,2.15,1.44,2.75,6.75,87.0,67.0,0.75,2.0,7.45,5.13,3.94,4.25,29.0,20.0,237.75,0.75,119.0,118.75,16.25,5.0,3.25,11.0,61.0,9.75,7.48,69.25,11.71,8.17,13.75,C.J. Beathard,25.0,0.25,19.0,31.5,254.0,1.75,1.25,3.5,52.0,25.75,133.5,0.5,29.5,30.75,19.0,254.0,1.75,52.0,2.0,0.25,90.28,0.25,8.0,0.25,8.0,3.5,1.75,62.75,45.5,17.25,4.25,5.5,2.25,0.0,0.0,1.0,2.0,2.25,2.5,2.5,4.5,196.0,51.25,43.22,2.5,72.0,0.0,35.5,1.75,8.5,0.0,9.25,20.14,4.38,12.0,249.25,119.5,134.5,1.75,5.0,7.25,4.0,2.5,10.0,2.25,34.48,7.9,6.41,3.84,7.18,5.7,15.89,28.88,7.0,69.5,64.0,1.5,2.62,2.42,5.25,12.0,119.5,134.5,2.0,1.75,7.86,6.41,7.18,10.0,40.75,25.0,286.25,2.75,144.5,141.75,11.0,6.25,2.75,11.25,52.5,9.5,8.94,60.75,11.72,7.08,15.25
2018,6,ARI,MIN,Away,17,Josh Rosen,0,14.75,0.25,14.75,26.25,158.25,1.0,1.0,1.75,39.0,21.0,63.75,0.75,12.25,25.0,14.75,158.25,1.0,39.0,0.75,0.5,76.9,1.0,7.5,0.0,5.25,4.5,2.5,74.75,60.0,14.75,6.5,5.0,1.75,18.0,0.25,1.5,2.0,2.0,0.25,0.75,6.25,294.0,56.75,47.84,1.25,26.0,0.0,12.0,1.0,1.75,0.0,1.75,10.96,0.88,6.5,225.75,89.25,69.0,1.75,4.75,6.25,2.25,4.5,8.5,0.75,23.08,8.65,6.44,3.42,4.97,6.74,18.26,30.31,3.5,39.5,24.25,0.25,1.82,1.25,1.0,6.5,89.25,69.0,1.0,1.75,8.8,6.44,4.97,8.0,36.25,24.25,268.25,0.75,126.0,142.25,17.75,3.0,2.5,8.5,65.25,7.0,7.69,67.75,11.08,7.58,10.0,Kirk Cousins,22.25,0.25,35.25,47.5,361.0,2.25,0.5,2.75,51.75,16.0,53.25,0.0,12.25,47.25,35.25,361.0,2.25,39.25,1.25,1.0,107.3,0.0,0.0,0.0,0.0,2.25,2.5,59.75,44.0,15.75,5.0,6.0,1.25,12.0,0.25,0.75,1.75,1.75,1.5,2.75,3.75,175.0,54.75,45.39,1.5,39.0,0.0,17.25,1.0,8.75,0.0,6.5,14.38,6.0,18.0,304.25,185.75,175.25,2.0,3.75,11.0,7.5,3.25,13.5,1.5,35.94,6.39,5.32,3.95,5.01,3.99,7.82,27.16,3.0,31.5,21.75,1.0,1.56,1.6,5.25,18.0,185.75,175.25,2.5,2.0,6.4,5.32,5.01,7.25,32.0,23.75,307.0,2.5,171.0,136.0,14.0,3.5,1.75,8.25,55.75,5.75,8.92,74.0,13.24,9.81,9.5
2018,7,ARI,DEN,Home,10,Josh Rosen,1,19.0,0.25,15.75,27.25,195.75,1.0,1.0,2.5,45.25,22.25,65.25,1.0,12.5,26.0,15.75,195.75,1.0,45.25,1.0,0.75,83.0,1.0,7.5,0.0,5.25,5.5,2.75,74.75,57.5,17.25,6.5,5.5,2.0,27.0,0.5,1.75,2.5,2.5,0.5,1.0,5.75,265.25,57.5,47.24,1.25,28.75,0.0,14.0,1.75,6.0,0.0,4.25,11.88,2.29,7.75,244.75,114.0,81.75,2.0,4.5,7.5,2.25,4.0,8.75,0.75,25.94,9.11,7.51,4.17,5.44,7.55,16.85,29.6,4.5,39.75,25.5,0.5,1.7,1.21,2.25,7.75,114.0,81.75,0.75,2.0,9.25,7.51,5.44,6.25,37.25,25.0,243.0,0.75,111.25,131.75,17.5,3.5,2.0,9.25,65.75,6.75,6.11,67.75,9.68,6.54,9.5,Case Keenum,18.25,0.0,25.75,39.75,284.0,1.0,1.0,3.25,37.75,20.0,107.75,1.0,23.0,39.0,25.75,284.0,1.0,37.75,1.0,0.0,81.85,0.5,1.25,0.0,1.25,5.75,1.5,63.25,43.25,20.0,3.75,5.5,1.25,0.0,0.0,0.5,1.75,1.75,1.5,1.5,5.5,227.0,52.75,41.34,1.75,39.0,0.0,26.75,1.25,8.5,0.0,4.0,22.88,3.33,12.75,287.5,161.25,122.75,2.0,6.25,11.5,5.0,3.25,11.5,0.25,28.94,7.26,6.38,4.09,4.63,5.21,16.43,28.15,6.5,65.0,42.75,3.0,3.16,2.12,14.5,12.75,161.25,122.75,2.0,2.0,7.33,6.38,4.63,8.25,34.25,20.25,265.75,1.25,147.25,118.5,30.75,4.75,1.75,9.5,51.25,9.0,8.94,57.5,14.23,7.98,15.25
2018,8,ARI,SFO,Home,18,Josh Rosen,1,18.0,0.25,16.75,30.5,196.0,0.75,1.0,3.0,43.25,23.0,69.25,1.0,12.75,28.75,16.75,196.0,0.75,43.25,1.25,1.0,71.8,1.0,7.5,0.0,5.25,4.5,2.75,72.25,55.25,17.0,6.5,5.25,1.75,27.0,0.5,1.5,2.25,2.25,0.75,1.25,6.25,290.5,56.25,47.22,2.5,48.0,0.0,19.5,1.75,8.5,0.0,4.75,15.72,3.54,7.75,255.25,115.25,80.75,2.0,5.75,9.5,2.0,4.25,9.25,0.75,23.72,8.58,7.24,3.82,5.18,7.22,19.42,27.93,4.75,41.0,28.25,0.5,1.72,1.28,2.25,7.75,115.25,80.75,0.75,2.0,8.9,7.24,5.18,6.25,33.25,23.5,234.75,1.25,109.5,125.25,16.25,4.5,2.0,9.75,61.75,7.0,6.2,73.0,10.18,7.51,10.5,C.J. Beathard,21.25,0.0,22.0,35.25,265.5,1.75,1.75,3.5,57.25,27.25,126.0,0.5,17.75,35.0,22.0,265.5,1.75,57.25,2.25,1.5,83.18,0.25,8.0,0.25,8.0,1.75,1.5,56.0,41.5,14.5,5.25,4.25,0.75,-0.75,0.0,0.25,1.75,1.75,1.5,1.75,4.0,174.5,51.5,43.31,3.0,77.75,0.0,28.5,1.75,3.5,0.0,4.25,25.46,2.38,12.75,218.75,109.0,156.5,2.0,4.75,12.0,1.25,3.5,8.25,2.25,31.92,6.68,5.42,3.45,7.05,5.22,13.67,23.14,7.75,64.25,61.75,2.5,2.32,2.23,8.0,12.75,109.0,156.5,2.0,2.0,6.67,5.42,7.05,9.5,31.25,18.0,231.25,1.75,132.0,99.25,13.5,4.5,2.25,8.25,45.0,6.5,9.48,56.75,13.68,7.45,12.25
2018,10,ARI,KAN,Away,14,Josh Rosen,0,18.25,0.5,18.75,33.75,214.0,1.0,1.25,3.5,44.75,21.25,68.25,0.75,10.75,31.25,18.75,214.0,1.0,40.25,1.25,1.0,70.3,1.0,7.5,0.0,5.25,5.75,3.0,71.75,52.0,19.75,7.25,6.5,1.5,27.0,0.5,1.0,2.0,2.0,0.75,0.75,6.25,284.5,56.0,46.02,2.0,34.25,0.0,12.25,1.5,8.5,0.0,4.75,8.85,3.54,9.25,266.0,122.75,91.25,1.5,6.75,10.25,2.5,3.25,9.25,0.75,24.4,8.12,6.96,3.7,5.19,5.07,20.71,25.44,4.0,35.0,33.25,0.5,1.65,1.57,2.5,9.25,122.75,91.25,1.0,1.5,8.62,6.96,5.19,7.25,34.25,22.5,241.0,1.5,110.75,130.25,19.0,4.75,2.75,11.5,60.25,6.0,6.92,67.0,11.28,7.5,9.25,Patrick Mahomes,38.0,0.75,24.5,35.25,347.0,3.75,1.25,1.5,53.75,22.0,120.0,0.75,25.25,33.5,24.5,347.0,3.75,53.75,0.5,0.0,121.92,0.75,12.75,0.25,12.75,2.5,2.5,64.0,45.25,18.75,4.5,3.75,1.0,0.0,0.0,1.25,4.25,4.75,1.75,2.0,2.0,77.5,37.0,30.42,3.0,88.25,0.0,46.75,1.75,9.0,0.0,6.0,27.31,2.56,15.75,279.0,155.0,192.0,2.0,5.0,7.75,5.75,3.5,10.75,1.25,42.76,7.86,6.38,4.42,7.88,5.84,14.06,29.25,6.75,63.75,56.25,1.5,2.75,2.47,6.25,15.5,155.0,192.0,1.75,2.0,8.09,6.38,7.88,7.25,36.5,24.0,275.75,1.5,142.0,133.75,12.25,3.25,1.25,7.5,54.5,7.25,8.87,65.75,11.46,7.56,11.5
2018,11,ARI,LVR,Home,21,Josh Rosen,1,14.75,0.25,21.75,37.25,223.5,1.0,1.75,4.5,32.0,21.75,77.75,0.5,11.0,34.75,21.75,223.5,1.0,27.5,1.5,1.0,65.65,0.5,0.0,0.0,0.0,3.75,3.25,60.75,44.0,16.75,7.25,6.5,0.75,9.0,0.25,0.5,1.5,1.5,0.75,0.75,5.5,267.0,56.75,48.47,2.75,56.5,0.0,21.25,2.0,10.5,0.0,6.25,16.27,4.21,11.25,269.0,126.75,96.75,0.75,6.75,9.5,2.5,4.5,11.5,0.75,26.98,7.2,5.84,3.46,4.43,2.07,17.84,27.4,4.75,44.0,33.75,0.5,1.99,1.57,2.5,11.25,126.75,96.75,1.25,0.75,7.55,5.84,4.43,5.75,26.75,18.25,212.25,1.5,116.5,95.75,18.0,5.25,2.0,11.5,53.25,5.25,7.79,69.25,12.0,8.24,9.0,Derek Carr,10.0,0.0,21.25,30.0,202.0,0.75,0.0,4.5,27.0,20.75,99.5,0.25,25.25,28.5,21.25,202.0,0.75,27.0,2.25,1.0,100.65,0.5,4.0,0.0,4.0,3.5,0.5,60.0,47.0,13.0,3.5,3.0,0.75,0.0,0.0,0.0,1.0,1.0,1.0,1.5,3.5,139.75,49.25,40.54,2.0,43.75,0.0,20.25,1.0,1.75,0.0,1.25,18.18,0.42,10.25,152.5,78.0,124.0,2.0,3.75,4.5,3.5,2.5,10.5,1.5,30.47,5.08,3.72,2.62,5.9,6.38,12.34,29.99,5.0,56.0,43.5,0.75,2.68,2.12,3.5,10.25,78.0,124.0,1.25,2.0,5.29,3.72,5.9,5.25,26.75,19.5,246.5,2.75,140.25,106.25,8.0,1.25,2.0,3.75,49.25,7.75,9.26,73.75,12.7,9.33,13.75
2018,12,ARI,LAC,Away,10,Josh Rosen,0,15.75,0.25,18.75,34.5,197.5,1.75,2.0,3.75,36.75,24.5,101.25,0.25,21.75,31.75,18.75,197.5,1.75,32.25,1.5,0.75,63.28,0.25,0.0,0.0,0.0,2.75,3.5,60.0,46.0,14.0,7.5,6.5,0.75,-1.25,0.0,0.25,1.75,1.75,0.5,0.5,6.0,299.5,56.5,49.53,2.25,49.5,0.0,22.5,2.25,15.75,0.0,8.25,19.27,5.17,10.75,251.0,100.5,97.0,1.75,6.25,7.5,3.0,4.0,10.75,0.75,28.88,7.22,5.14,2.77,6.04,7.52,17.12,28.12,4.75,56.75,44.5,0.5,2.26,1.78,2.0,10.75,100.5,97.0,1.25,1.75,7.72,5.14,6.04,7.25,25.5,17.0,205.25,1.75,103.75,101.5,19.0,4.5,2.5,11.0,53.5,5.0,8.8,68.25,12.23,8.3,8.75,Philip Rivers,21.75,0.75,19.5,30.25,289.5,2.0,0.75,2.0,56.75,22.5,103.75,0.25,20.0,30.0,19.5,289.5,2.0,56.75,0.0,0.0,110.0,0.5,14.5,0.25,14.5,4.0,2.0,71.25,47.0,24.25,4.0,5.75,0.25,6.0,0.0,0.25,1.5,2.25,1.75,2.0,3.75,155.5,45.75,40.77,2.25,44.5,0.0,24.0,2.25,12.0,0.0,9.75,19.33,5.19,12.25,268.25,145.75,143.75,1.25,3.5,10.0,1.75,2.75,6.5,0.25,37.73,9.05,7.81,4.92,7.28,4.05,11.56,21.04,5.0,61.25,42.5,1.75,2.64,1.91,8.0,12.25,145.75,143.75,2.0,1.25,9.07,7.81,7.28,9.0,35.0,24.25,239.75,1.0,113.0,126.75,8.25,2.5,2.25,7.75,58.0,9.0,5.67,69.5,10.02,6.92,13.25
2018,13,ARI,GNB,Away,20,Josh Rosen,0,15.75,0.25,16.5,29.5,175.25,1.75,1.5,2.75,36.25,25.25,99.5,0.25,22.25,27.0,16.5,175.25,1.75,31.75,1.0,0.25,70.58,0.0,0.0,0.0,0.0,2.75,3.75,63.0,46.5,16.5,7.5,7.25,1.0,-1.25,0.0,0.5,1.75,1.75,0.5,0.75,5.75,285.0,57.5,49.16,2.5,65.0,0.0,25.25,2.0,18.0,0.0,12.5,21.21,9.54,9.75,212.75,77.25,98.0,2.0,4.5,4.5,3.5,2.5,8.75,0.5,29.2,7.17,4.3,2.37,6.77,9.51,12.63,26.22,5.0,57.25,42.25,1.0,2.24,1.63,4.0,9.75,77.25,98.0,1.25,2.0,7.14,4.3,6.77,7.25,30.5,21.5,242.75,2.0,114.0,128.75,18.75,4.0,2.75,11.5,56.5,7.0,7.23,69.25,11.68,7.95,10.5,Aaron Rodgers,22.25,0.25,20.25,32.25,247.0,1.75,0.0,3.0,43.5,20.5,110.5,1.0,24.75,30.25,20.25,247.0,1.75,43.5,0.5,0.25,106.0,0.25,6.5,0.0,6.5,2.75,3.25,65.75,46.5,19.25,5.25,5.25,0.5,0.0,0.0,0.5,2.75,2.75,1.0,1.25,4.5,201.75,53.25,43.08,1.5,30.0,0.0,21.25,1.75,21.5,0.0,14.25,20.38,10.33,11.0,306.5,144.0,103.0,1.25,5.0,7.25,4.25,1.5,8.75,1.75,31.23,9.5,7.1,4.54,5.07,4.04,15.12,24.87,5.75,75.25,35.25,0.5,3.44,1.69,2.25,11.0,144.0,103.0,0.25,1.25,9.86,7.1,5.07,1.25,34.5,24.0,278.25,1.75,151.0,127.25,20.5,1.75,1.25,6.25,59.25,9.5,8.75,70.0,11.57,8.11,13.5
2018,14,ARI,DET,Home,3,Josh Rosen,1,16.25,0.25,13.5,26.0,149.5,1.25,1.25,2.5,36.25,27.25,123.0,0.75,26.25,24.25,13.5,149.5,1.25,36.25,1.0,0.0,65.25,0.0,0.0,0.0,0.0,2.0,3.25,64.0,48.5,15.5,7.0,6.25,1.5,-1.25,0.0,0.5,2.0,2.0,0.75,1.0,6.0,295.0,59.75,48.92,2.5,65.0,0.0,25.25,2.75,21.5,0.0,14.5,21.21,10.71,8.0,203.25,73.5,76.0,1.75,4.0,5.5,4.75,2.25,9.5,0.25,27.62,7.77,5.53,2.67,6.18,8.88,13.4,31.39,6.25,62.0,61.0,1.5,2.24,2.16,5.25,8.0,73.5,76.0,1.0,1.75,7.63,5.53,6.18,6.25,36.25,26.0,253.25,2.0,117.75,135.5,19.75,5.25,2.5,11.5,58.5,7.25,7.24,72.75,10.1,7.43,10.5,Matthew Stafford,18.5,0.25,24.0,37.75,243.75,1.0,1.25,3.25,37.5,25.0,95.75,1.0,21.75,36.75,24.0,243.75,1.0,37.5,1.0,0.5,77.75,0.5,1.0,0.0,1.0,3.25,2.25,51.25,41.5,9.75,3.0,5.25,1.0,5.0,0.0,0.5,1.25,1.25,1.75,1.75,5.25,237.5,56.5,44.72,1.0,20.25,0.0,10.5,1.25,11.5,0.0,7.5,10.08,7.33,12.5,249.0,107.5,136.25,2.25,7.0,14.25,2.0,2.75,8.0,0.75,30.58,6.59,4.64,2.88,5.67,6.0,18.74,19.7,6.25,44.0,51.75,2.0,1.77,2.07,8.0,12.5,107.5,136.25,1.5,2.25,6.48,4.64,5.67,6.75,36.25,20.5,309.5,2.25,181.0,128.5,7.0,1.75,2.0,6.5,41.75,3.75,10.04,54.0,56.84,8.55,8.75
2018,15,ARI,ATL,Away,14,Josh Rosen,0,13.5,0.25,14.5,26.5,157.5,1.0,1.0,2.0,35.0,26.25,114.75,0.5,26.0,25.25,14.5,157.5,1.0,35.0,1.25,0.0,67.92,0.0,0.0,0.0,0.0,2.0,2.25,63.75,49.0,14.75,5.75,5.0,2.0,-1.75,0.0,0.5,1.5,1.5,1.0,1.5,6.25,308.0,60.25,49.03,2.0,47.0,0.0,20.5,3.25,26.0,0.0,16.0,18.04,11.34,9.0,226.0,90.0,67.5,2.0,4.25,6.25,3.75,1.0,6.75,0.75,29.9,8.24,5.97,3.04,5.69,9.49,13.76,25.14,5.0,52.0,62.75,1.5,1.88,2.3,5.25,9.0,90.75,66.75,0.25,2.0,8.14,6.0,5.66,2.75,36.0,25.0,217.5,1.5,92.5,125.0,18.25,4.75,2.5,10.0,56.5,8.0,7.04,69.5,8.57,6.1,12.0,Matt Ryan,18.0,0.0,25.75,37.5,265.25,1.75,0.75,3.5,32.25,18.25,61.75,0.0,12.25,37.5,25.75,265.25,1.75,32.25,2.25,1.0,95.42,0.25,0.0,0.0,0.0,3.5,2.5,65.5,43.5,22.0,4.5,4.0,1.5,18.5,0.0,1.0,1.5,1.75,1.5,1.75,3.25,152.5,49.25,44.85,2.5,61.5,0.0,24.5,1.25,12.0,0.0,11.25,18.2,9.33,13.25,352.0,163.25,102.0,2.5,4.75,14.0,2.75,3.75,10.0,0.75,31.36,9.62,6.22,4.25,3.9,6.97,13.06,23.79,4.5,47.0,14.75,1.25,2.46,0.74,6.25,13.0,163.25,102.0,1.75,2.5,9.63,6.22,3.9,7.0,27.75,17.25,174.5,1.5,111.75,62.75,7.75,3.25,1.0,6.75,57.25,6.0,9.77,60.5,11.16,6.35,9.0
